As of 31/12/2016,As of 31/12/2017,As of 31/12/2018,As of 31/12/2019,As of 31/12/2020,As of 31/12/2021,As of 31/12/2022
COO,CMI,CNC,CNP,COF,CNP,CNP
COP,CMS,CNP,COF,COO,COF,COF
COR,CNC,COF,COO,COP,COO,COO
COST,CNP,COO,COP,COR,COP,COP
COTY,COF,COP,COR,COST,COR,COR
CPB,COL,COR,COST,CPB,COST,COST
CPRI,COO,COST,COTY,CPRT,CPB,CPB
CRM,COP,COTY,CPB,CRM,CPRT,CPRT
CSCO,COR,CPB,CPRI,CSCO,CRL,CPT
CSRA,COST,CPRI,CPRT,CSX,CRM,CRL
CSX,COTY,CPRT,CRM,CTAS,CSCO,CRM
CTAS,CPB,CRM,CSCO,CTLT,CSX,CSCO
CTRA,CPRI,CSCO,CSX,CTRA,CTAS,CSGP
CTSH,CRM,CSX,CTAS,CTSH,CTLT,CSX
CTXS,CSCO,CTAS,CTRA,CTVA,CTRA,CTAS
CVS,CSRA,CTRA,CTSH,CTXS,CTSH,CTLT
CVX,CSX,CTSH,CTVA,CVS,CTVA,CTRA
CXO,CTAS,CTXS,CTXS,CVX,CTXS,CTSH
D,CTRA,CVS,CVS,CXO,CVS,CTVA
DAL,CTSH,CVX,CVX,D,CVX,CVS
DE,CTXS,CXO,CXO,DAL,CZR,CVX
DFS,CVS,D,D,DD,D,CZR
DG,CVX,DAL,DAL,DE,DAL,D
DGX,CXO,DD,DD,DFS,DD,DAL
DHI,D,DE,DE,DG,DE,DD
DHR,DAL,DFS,DFS,DGX,DFS,DE
DIS,DD,DG,DG,DHI,DG,DFS
DISCA,DE,DGX,DGX,DHR,DGX,DG
DISCK,DFS,DHI,DHI,DIS,DHI,DGX
DLR,DG,DHR,DHR,DISCA,DHR,DHI
DLTR,DGX,DIS,DIS,DISCK,DIS,DHR
DOV,DHI,DISCA,DISCA,DISH,DISCA,DIS
DRI,DHR,DISCK,DISCK,DLR,DISCK,DISH
DTE,DIS,DISH,DISH,DLTR,DISH,DLR
DUK,DISCA,DLR,DLR,DOV,DLR,DLTR
DVA,DISCK,DLTR,DLTR,DOW,DLTR,DOV
DVN,DISH,DOV,DOV,DPZ,DOV,DOW
EA,DLR,DRE,DOW,DRE,DOW,DPZ
